"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J12,J6,J13,J11";"TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal";4;"Screw_Terminal_01x03";;;
2;"J2,J1";"PinSocket_1x12_P2.54mm_Vertical";2;"Conn_01x12";;;
3;"K3,K2,K4,K1";"Relay_SPDT_Omron-G5LE-1";4;"G5LE-1";;;
4;"U2";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"ULN2803A";;;
5;"U1";"SSOP-14_5.3x6.2mm_P0.65mm";1;"74HC14";;;
6;"RN2";"R_Array_SIP8";1;"R_Pack04_SIP";;;
7;"RN1";"R_Array_SIP5";1;"R_Network04";;;
8;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"33k";;;
9;"PS1";"Converter_DCDC_TRACO_TEN32411";1;"TEN32411WIN";;;
10;"J18,J16,J14,J10";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";4;"Conn_01x02_Male";;;
11;"J8";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
12;"J4";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_MountingPin";;;
13;"J3";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
14;"F1";"Fuseholder_Cylinder-6.3x32mm_Schurter_0031-8002_Horizontal_Open";1;"5A";;;
15;"D3";"D_DO-201AD_P15.24mm_Horizontal";1;"1N5401";;;
16;"D2";"SOT-353_SC-70-5";1;"MMBD4448HCQW";;;
17;"C4,C3,C2,C1";"C_0805_2012Metric";4;"0.1uF";;;
